method,fwhm_mm,cr_db,cnr,time_s,nx,nz,pixels
DAS,1.1811023578047752,3.62265972286182,0.489745920152787,8.428617280000026,128,280,35840
CF,0.7086613913998008,6.626701332655348,0.4614863556146992,8.427410257999782,128,280,35840
DAS,1.9148936262354253,3.548342906404546,0.4722340026047785,1.3202274569999872,48,110,5280
CF,1.9148936262354253,5.506119047174607,0.4042917518503516,1.2676167539999597,48,110,5280
DAS,1.9047618843615053,3.631562692034152,0.4911287885641127,2.4206035450000627,64,160,10240
CF,1.4285714132711291,5.626454905375827,0.3923245036726724,2.416249407000123,64,160,10240
DAS,1.263157930225134,4.018003437447871,0.5331794944911654,4.897048667999911,96,220,21120
CF,0.9473684476688504,5.982846754794275,0.4183146497757584,4.874061625999957,96,220,21120
