method,fwhm_mm_mean,fwhm_mm_std,cr_db_mean,cr_db_std,cnr_mean,cnr_std,time_s_mean,time_s_std,seed_mean,seed_std
CF,0.9473684476688504,0.0,6.346098199320124,0.7685870947057903,0.4541930033437979,0.05130404217071558,4.876627861799989,0.11157205562101673,2.0,1.5811388300841898
DAS,1.2000000337138772,0.14122534991506677,4.388370148495142,0.3941499468699707,0.5886227756669087,0.05439347433382183,4.925119588199959,0.09259830454296043,2.0,1.5811388300841898
