method,fwhm_mm,cr_db,cnr,time_s
DAS,1.9047618843615055,3.6315626920341524,0.4911287885641127,2.4206035450000627
CF,1.4285714132711291,5.626454905375827,0.3923245036726724,2.416249407000123
