method,fwhm_mm,cr_db,cnr
DAS-box,0.9473684476688504,4.253175270646807,0.5619762887786861
CF-box,0.9473684476688504,6.020850608667189,0.445715241698259
DAS-hanning,1.263157930225134,4.018003437447871,0.5331794944911654
CF-hanning,0.9473684476688504,5.982846754794275,0.41831464977575844
