method,fwhm_mm,cr_db,cnr,time_s
DAS,1.9148936262354255,3.548342906404546,0.4722340026047785,1.3202274569999872
CF,1.9148936262354255,5.506119047174607,0.4042917518503516,1.2676167539999597
